Terminal/Stream,Liquid Type,January,February,March,April,May,June
BONNY,Crude Oil,232.3,262.88,258.0,278.68,277.04,301.93
BONNY,Condensate,12.57,13.18,13.78,16.43,16.83,16.34
BONNY,Blend Total,244.87,276.05,271.77,295.1,293.88,318.28
BRASS,Crude Oil,30.36,34.41,35.09,32.99,33.77,33.18
BRASS,Condensate,9.51,10.04,9.37,8.52,9.77,8.67
BRASS,Blend Total,39.87,44.45,44.46,41.5,43.54,41.85
QUA IBOE,Crude Oil,146.77,157.18,167.64,163.94,173.27,163.07
QUA IBOE,Condensate,1.84,1.56,1.6,1.56,0.09,1.65
QUA IBOE,Blend Total,148.61,158.75,169.24,165.5,173.36,164.72
FORCADOS,Crude Oil,256.35,222.67,152.68,221.8,266.63,282.86
FORCADOS,Condensate,25.67,21.07,14.51,23.34,23.27,23.5
FORCADOS,Blend Total,282.02,243.74,167.19,245.14,289.9,306.36
ESCRAVOS (Oil Terminal),Crude Oil,136.37,133.75,140.5,135.67,133.19,135.12
ESCRAVOS (Oil Terminal),Condensate,2.26,2.89,3.56,1.95,2.28,2.91
ESCRAVOS (Oil Terminal),Blend Total,138.63,136.64,144.06,137.62,135.47,138.03
ODUDU (AMENAM BLEND),Crude Oil,62.8,66.53,65.64,61.8,63.01,61.98
ODUDU (AMENAM BLEND),Condensate,NaN,NaN,NaN,0.24,0.24,0.33
ODUDU (AMENAM BLEND),Blend Total,62.8,66.53,65.64,62.04,63.25,62.31
TULJA - OKWUIBOME,Crude Oil,56.71,49.53,50.54,53.19,53.41,54.22
TULJA - OKWUIBOME,Condensate,NaN,NaN,NaN,NaN,NaN,NaN
TULJA - OKWUIBOME,Blend Total,56.71,49.53,50.54,53.19,53.41,54.22
AJE,Crude Oil,NaN,NaN,NaN,NaN,NaN,NaN
AJE,Condensate,NaN,NaN,NaN,NaN,NaN,NaN
AJE,Blend Total,NaN,NaN,NaN,NaN,NaN,NaN
AJAPA,Crude Oil,1.99,1.88,1.17,1.76,1.14,2.69
OKORO (Ex Ima Terminal),Crude Oil,4.97,3.35,3.84,3.8,3.86,5.43
OTAKPIPO,Crude Oil,6.33,6.29,8.49,8.52,7.21,5.94
ANTAN,Crude Oil,4.86,5.14,5.91,7.57,6.93,7.56
OKONO,Crude Oil,4.6,7.33,7.18,6.95,6.25,3.55
YOHO,Crude Oil,0.12,NaN,NaN,NaN,NaN,NaN
OKWORI,Crude Oil,3.31,3.16,2.74,3.04,3.16,2.43
EBOK,Crude Oil,8.25,7.97,7.52,7.42,7.16,7.15
BONGA,Crude Oil,119.4,2.02,91.99,102.12,102.54,103.66
ERHA,Crude Oil,70.76,67.8,70.58,68.17,69.73,65.96
USAN,Crude Oil,33.58,36.32,34.84,30.95,32.23,29.69
EGINA,Crude Oil,49.72,53.8,51.6,48.9,49.56,47.95
OYO / OBODO,Crude Oil,0.8,0.77,0.78,0.0,NaN,NaN
ABO,Crude Oil,8.7,8.9,8.27,7.87,7.23,6.87
PENNINGTON,Crude Oil,13.86,13.4,5.34,5.11,2.02,3.88
UGO OCHA (JONES CREEK),Crude Oil,34.77,36.95,31.0,33.75,35.93,26.9
SEA EAGLE (EA),Crude Oil,17.3,16.05,15.16,14.37,14.98,14.57
ANYALA MADU (CJ Blend),Crude Oil,45.7,14.65,39.2,60.3,50.29,55.17
NEMBE,Crude Oil,41.03,26.53,45.14,39.61,41.72,40.68
UTAPATE,Crude Oil,55.19,57.97,58.02,59.29,59.17,59.63
CAWTHORNE,Crude Oil,12.34,16.45,23.97,30.97,28.94,33.14
AGBAMI,Condensate,54.2,63.53,67.74,67.1,69.17,74.06
AKPO,Condensate,50.11,46.62,41.57,44.71,37.38,40.63
IMA,Condensate,NaN,NaN,NaN,NaN,NaN,NaN
AJAPA,Condensate,1.79,1.15,0.92,0.88,1.27,1.97
TULJA - OKWUIBOME,Condensate,10.27,10.22,10.22,10.16,10.15,10.11
TOTAL,Crude Oil,1459.24,1313.69,1382.84,1488.54,1530.35,1555.22
TOTAL,Blended Condensate,51.85,48.74,42.81,52.03,52.48,53.4
TOTAL,Unblended Condensate,116.37,121.52,120.44,122.84,117.96,126.77
TOTAL,Total,1627.46,1483.95,1546.09,1663.41,1700.8,1735.4
